=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Gain Ratio feature evaluator

Ranked attributes:
 0.0899      899 X898
 0.0898     1026 X1025
 0.0898     1465 X1464
 0.0898     1655 X1654
 0.0897     1792 X1791
 0.0897     1748 X1747
 0.0896      744 X743
 0.0896     1809 X1808
 0.0895     1166 X1165
 0.0895     1605 X1604
 0.0895      701 X700
 0.0895     2042 X2041
 0.0894      902 X901
 0.0894      791 X790
 0.0894     1755 X1754
 0.0893     1599 X1598
 0.0893     1409 X1408
 0.0892     1210 X1209
 0.0892      852 X851
 0.0892     1093 X1092
 0.0892     1369 X1368
 0.0891     1173 X1172
 0.0891     1411 X1410
 0.0891     1612 X1611
 0.0891     1554 X1553
 0.089      1033 X1032
 0.089      1475 X1474
 0.089      1456 X1455
 0.089      1515 X1514
 0.089      1668 X1667
 0.0889     1476 X1475
 0.0888     1355 X1354
 0.0888     1376 X1375
 0.0888     1653 X1652
 0.0887      996 X995
 0.0887     1370 X1369
 0.0886     1805 X1804
 0.0885     1616 X1615
 0.0885     1520 X1519
 0.0885     1646 X1645
 0.0884     1357 X1356
 0.0884      658 X657
 0.0884      738 X737
 0.0883     1521 X1520
 0.0883     1229 X1228
 0.0883     1025 X1024
 0.0882      706 X705
 0.0882     1177 X1176
 0.0882     1427 X1426
 0.0882     1181 X1180
 0.0882     1522 X1521
 0.0882     1237 X1236
 0.0881     1455 X1454
 0.088      1462 X1461
 0.0879     1115 X1114
 0.0879     1664 X1663
 0.0879      935 X934
 0.0879     1047 X1046
 0.0879      805 X804
 0.0878     1414 X1413
 0.0878      785 X784
 0.0878     1143 X1142
 0.0878     1800 X1799
 0.0878     1259 X1258
 0.0878     1617 X1616
 0.0878      692 X691
 0.0878      797 X796
 0.0877     1742 X1741
 0.0876     1144 X1143
 0.0876     1709 X1708
 0.0876     1238 X1237
 0.0876      876 X875
 0.0875     1463 X1462
 0.0875     1375 X1374
 0.0875     1562 X1561
 0.0875     1331 X1330
 0.0875     1192 X1191
 0.0874     1178 X1177
 0.0874     1502 X1501
 0.0874     1071 X1070
 0.0874     1661 X1660
 0.0873     1226 X1225
 0.0873     1619 X1618
 0.0872      694 X693
 0.0872     1802 X1801
 0.0872     1283 X1282
 0.0872     1211 X1210
 0.0872     1416 X1415
 0.0872     1045 X1044
 0.0871     1410 X1409
 0.0871     1020 X1019
 0.087      1083 X1082
 0.087       937 X936
 0.0869     1848 X1847
 0.0868     1749 X1748
 0.0868     1079 X1078
 0.0868      789 X788
 0.0867     1479 X1478
 0.0867     1040 X1039
 0.0866     1333 X1332
 0.0866     1191 X1190
 0.0866     1322 X1321
 0.0865     1853 X1852
 0.0865     1559 X1558
 0.0865     1288 X1287
 0.0865     1750 X1749
 0.0865     1458 X1457
 0.0865     1564 X1563
 0.0865     1309 X1308
 0.0865     1525 X1524
 0.0864     1354 X1353
 0.0864     1799 X1798
 0.0864     1124 X1123
 0.0863     1092 X1091
 0.0863     1190 X1189
 0.0863      950 X949
 0.0862     1850 X1849
 0.0861     1466 X1465
 0.0861     1129 X1128
 0.086      1457 X1456
 0.086       601 X600
 0.086       949 X948
 0.086      1044 X1043
 0.0859     1505 X1504
 0.0859     1797 X1796
 0.0859     1851 X1850
 0.0859     1747 X1746
 0.0859     2081 X2080
 0.0859     1085 X1084
 0.0859     1095 X1094
 0.0858     1140 X1139
 0.0858     1080 X1079
 0.0858     1460 X1459
 0.0858     1552 X1551
 0.0857      997 X996
 0.0857     1326 X1325
 0.0857     1614 X1613
 0.0857      923 X922
 0.0856     1852 X1851
 0.0856     1424 X1423
 0.0856     1524 X1523
 0.0855     1336 X1335
 0.0855      593 X592
 0.0855     1431 X1430
 0.0854      877 X876
 0.0854     1504 X1503
 0.0854     1793 X1792
 0.0854      651 X650
 0.0853     1511 X1510
 0.0853     1798 X1797
 0.0853      400 X399
 0.0852     1855 X1854
 0.0852     1551 X1550
 0.0852     1662 X1661
 0.0852      656 X655
 0.0852     1174 X1173
 0.0852     1503 X1502
 0.0851     1328 X1327
 0.0851      999 X998
 0.0851      399 X398
 0.085      1070 X1069
 0.085      1405 X1404
 0.085      1758 X1757
 0.085      1239 X1238
 0.0849      752 X751
 0.0849     1843 X1842
 0.0849     1068 X1067
 0.0848      829 X828
 0.0848      657 X656
 0.0847     1512 X1511
 0.0847     1708 X1707
 0.0847      840 X839
 0.0847      943 X942
 0.0847     1845 X1844
 0.0846     1285 X1284
 0.0846     1281 X1280
 0.0846     1550 X1549
 0.0846     1603 X1602
 0.0845     1418 X1417
 0.0845     2126 X2125
 0.0845     1516 X1515
 0.0845     1037 X1036
 0.0845     2135 X2134
 0.0845     1994 X1993
 0.0844     1381 X1380
 0.0844     1563 X1562
 0.0844      971 X970
 0.0844      652 X651
 0.0844      600 X599
 0.0844     2136 X2135
 0.0844     1663 X1662
 0.0843     1116 X1115
 0.0842      992 X991
 0.0842      753 X752
 0.0842     2124 X2123
 0.0842     1710 X1709
 0.0842     1665 X1664
 0.0841     1849 X1848
 0.0841      693 X692
 0.0841     1756 X1755
 0.0841     1464 X1463
 0.084      1615 X1614
 0.084      1694 X1693
 0.0839      446 X445
 0.0839      947 X946
 0.0839      640 X639
 0.0839      547 X546
 0.0839     1509 X1508
 0.0838     1804 X1803
 0.0838     1024 X1023
 0.0838     1446 X1445
 0.0838      926 X925
 0.0838     1510 X1509
 0.0838     2087 X2086
 0.0838      900 X899
 0.0837      888 X887
 0.0837      737 X736
 0.0837     1459 X1458
 0.0837     1508 X1507
 0.0836     1810 X1809
 0.0836     1477 X1476
 0.0836     1286 X1285
 0.0836     1571 X1570
 0.0836      978 X977
 0.0836     1422 X1421
 0.0836      980 X979
 0.0835      987 X986
 0.0835     1764 X1763
 0.0835     1165 X1164
 0.0835      704 X703
 0.0835      646 X645
 0.0835     1759 X1758
 0.0834     1287 X1286
 0.0834     1212 X1211
 0.0834     1557 X1556
 0.0833     1519 X1518
 0.0833      599 X598
 0.0833     1712 X1711
 0.0833     1023 X1022
 0.0833     1117 X1116
 0.0833     2041 X2040
 0.0833     1383 X1382
 0.0833      979 X978
 0.0832     1235 X1234
 0.0832      691 X690
 0.0831      973 X972
 0.0831     1036 X1035
 0.0831     1096 X1095
 0.0831      989 X988
 0.0831     2089 X2088
 0.0831     1801 X1800
 0.083      1131 X1130
 0.083      1523 X1522
 0.083      1556 X1555
 0.083      1240 X1239
 0.083      1094 X1093
 0.0829     2043 X2042
 0.0829      803 X802
 0.0828      642 X641
 0.0828      751 X750
 0.0828      750 X749
 0.0827      941 X940
 0.0827     1185 X1184
 0.0827      730 X729
 0.0827      850 X849
 0.0827     1022 X1021
 0.0826     1306 X1305
 0.0826     1474 X1473
 0.0826     1404 X1403
 0.0825      645 X644
 0.0825      602 X601
 0.0825     1982 X1981
 0.0825      898 X897
 0.0824     1506 X1505
 0.0824      998 X997
 0.0824     1356 X1355
 0.0823      806 X805
 0.0823      708 X707
 0.0823     2186 X2185
 0.0822      784 X783
 0.0822     1995 X1994
 0.0821      788 X787
 0.0821      831 X830
 0.082       557 X556
 0.082      2182 X2181
 0.082      1335 X1334
 0.0819     1565 X1564
 0.0819      801 X800
 0.0819     1711 X1710
 0.0819      787 X786
 0.0819     1811 X1810
 0.0818     1233 X1232
 0.0818     1274 X1273
 0.0818     1429 X1428
 0.0817      786 X785
 0.0817     1432 X1431
 0.0817      802 X801
 0.0817      644 X643
 0.0817     1084 X1083
 0.0817     1142 X1141
 0.0816      986 X985
 0.0816     1812 X1811
 0.0816     1430 X1429
 0.0815     1137 X1136
 0.0815     2132 X2131
 0.0815     1844 X1843
 0.0815     1164 X1163
 0.0815     1081 X1080
 0.0815     1277 X1276
 0.0815      653 X652
 0.0814     2088 X2087
 0.0814      925 X924
 0.0814     1558 X1557
 0.0814      903 X902
 0.0814     1478 X1477
 0.0814     1993 X1992
 0.0813      603 X602
 0.0813     1751 X1750
 0.0813     2030 X2029
 0.0813     1035 X1034
 0.0812     1241 X1240
 0.0812     1854 X1853
 0.0812     1451 X1450
 0.0812     1133 X1132
 0.0812     1896 X1895
 0.0811     1447 X1446
 0.0811     1373 X1372
 0.0811      659 X658
 0.0811      559 X558
 0.081       688 X687
 0.081       322 X321
 0.081      1179 X1178
 0.081      1180 X1179
 0.081      1030 X1029
 0.0809     1858 X1857
 0.0809     1213 X1212
 0.0809     1803 X1802
 0.0809      643 X642
 0.0809     1046 X1045
 0.0809      879 X878
 0.0809     1461 X1460
 0.0808     1757 X1756
 0.0808     1423 X1422
 0.0808      705 X704
 0.0807     1467 X1466
 0.0807      354 X353
 0.0807      778 X777
 0.0807      553 X552
 0.0806     1471 X1470
 0.0806     2040 X2039
 0.0806     2185 X2184
 0.0806     1567 X1566
 0.0805     1991 X1990
 0.0805      982 X981
 0.0805     1983 X1982
 0.0805     1934 X1933
 0.0805      587 X586
 0.0804     1425 X1424
 0.0804     1374 X1373
 0.0804     1568 X1567
 0.0804     1840 X1839
 0.0803     1175 X1174
 0.0803     2090 X2089
 0.0803     1329 X1328
 0.0801     1209 X1208
 0.0801      895 X894
 0.0801      844 X843
 0.0801      839 X838
 0.08       1125 X1124
 0.08       1842 X1841
 0.08        854 X853
 0.0799     1114 X1113
 0.0799     2133 X2132
 0.0799     1933 X1932
 0.0799      608 X607
 0.0799     1132 X1131
 0.0799      830 X829
 0.0798     1452 X1451
 0.0798     1330 X1329
 0.0798      609 X608
 0.0798     2085 X2084
 0.0798     2137 X2136
 0.0797     2138 X2137
 0.0797      702 X701
 0.0796      974 X973
 0.0796     1128 X1127
 0.0795     1494 X1493
 0.0795      355 X354
 0.0795     2215 X2214
 0.0794      851 X850
 0.0794      781 X780
 0.0794     1555 X1554
 0.0794      754 X753
 0.0794      948 X947
 0.0794      995 X994
 0.0794      938 X937
 0.0793     1043 X1042
 0.0793     1572 X1571
 0.0792     1307 X1306
 0.0792     1501 X1500
 0.0792     1687 X1686
 0.0792      944 X943
 0.0792     1507 X1506
 0.0791     1377 X1376
 0.0791     2029 X2028
 0.0791      783 X782
 0.0791      598 X597
 0.0791     1835 X1834
 0.0791     2036 X2035
 0.0791      595 X594
 0.0791     2264 X2263
 0.079      1382 X1381
 0.079       988 X987
 0.079      1899 X1898
 0.079      1069 X1068
 0.0789     1282 X1281
 0.0789      637 X636
 0.0788     1089 X1088
 0.0788     1518 X1517
 0.0788      709 X708
 0.0787     1130 X1129
 0.0787     2172 X2171
 0.0787     1527 X1526
 0.0787      690 X689
 0.0787      703 X702
 0.0786      654 X653
 0.0785      945 X944
 0.0785     1889 X1888
 0.0785     1126 X1125
 0.0785     1528 X1527
 0.0785      975 X974
 0.0784     1839 X1838
 0.0783     1884 X1883
 0.0783     1470 X1469
 0.0783     1127 X1126
 0.0783      871 X870
 0.0783      757 X756
 0.0783     1526 X1525
 0.0782     2181 X2180
 0.0782     1932 X1931
 0.0782     1891 X1890
 0.0782      972 X971
 0.0781     1841 X1840
 0.0781     1176 X1175
 0.0781     1187 X1186
 0.0781     1017 X1016
 0.0781     1979 X1978
 0.078      1645 X1644
 0.0779     1048 X1047
 0.0779     1900 X1899
 0.0779      878 X877
 0.0779     1895 X1894
 0.0779     1078 X1077
 0.0779     1398 X1397
 0.0778      735 X734
 0.0778     1066 X1065
 0.0778     1227 X1226
 0.0777     1110 X1109
 0.0777     1786 X1785
 0.0777     1453 X1452
 0.0777     1421 X1420
 0.0777     2039 X2038
 0.0777     1234 X1233
 0.0776     1856 X1855
 0.0776     1890 X1889
 0.0776     1468 X1467
 0.0775     2234 X2233
 0.0775     1049 X1048
 0.0775      940 X939
 0.0774     1892 X1891
 0.0774     2091 X2090
 0.0774      993 X992
 0.0773      660 X659
 0.0773     1426 X1425
 0.0773      606 X605
 0.0773     1938 X1937
 0.0772      561 X560
 0.0772     1260 X1259
 0.0772     2220 X2219
 0.0772     1060 X1059
 0.0772     1160 X1159
 0.0772     2183 X2182
 0.0771      308 X307
 0.077      2076 X2075
 0.0769      828 X827
 0.0769     1351 X1350
 0.0768     1029 X1028
 0.0768     1302 X1301
 0.0767      596 X595
 0.0767      555 X554
 0.0767     1591 X1590
 0.0766     1573 X1572
 0.0766     2180 X2179
 0.0766     1228 X1227
 0.0766      734 X733
 0.0766      798 X797
 0.0765     2134 X2133
 0.0765     1254 X1253
 0.0765     2031 X2030
 0.0765      981 X980
 0.0765     1545 X1544
 0.0765      506 X505
 0.0764     1325 X1324
 0.0764     2044 X2043
 0.0764     1275 X1274
 0.0764     1000 X999
 0.0764      970 X969
 0.0764      887 X886
 0.0763     2086 X2085
 0.0763     1739 X1738
 0.0763     1939 X1938
 0.0762     1091 X1090
 0.0762      736 X735
 0.0762      689 X688
 0.0762     1931 X1930
 0.0761     1621 X1620
 0.0761     1186 X1185
 0.0761      855 X854
 0.076      1034 X1033
 0.076       510 X509
 0.076      1549 X1548
 0.076      1566 X1565
 0.076      1902 X1901
 0.0759     2033 X2032
 0.0759     1301 X1300
 0.0759     1901 X1900
 0.0759      611 X610
 0.0759      552 X551
 0.0758     1082 X1081
 0.0758     1018 X1017
 0.0757      686 X685
 0.0757     1276 X1275
 0.0757     1419 X1418
 0.0757     1947 X1946
 0.0756     2290 X2289
 0.0756     2280 X2279
 0.0756     2170 X2169
 0.0756     2233 X2232
 0.0756      927 X926
 0.0755     1041 X1040
 0.0755     2032 X2031
 0.0754      508 X507
 0.0754     1765 X1764
 0.0754     1500 X1499
 0.0754     1935 X1934
 0.0753     1950 X1949
 0.0753      614 X613
 0.0753     2171 X2170
 0.0753     1883 X1882
 0.0753     1384 X1383
 0.0752     1371 X1370
 0.0752      558 X557
 0.0752      946 X945
 0.0751     2190 X2189
 0.075      1940 X1939
 0.075       509 X508
 0.075      1885 X1884
 0.075      1984 X1983
 0.075      1064 X1063
 0.0749     1886 X1885
 0.0749     1669 X1668
 0.0749     1597 X1596
 0.0748     2079 X2078
 0.0748      639 X638
 0.0748     1193 X1192
 0.0748     2228 X2227
 0.0748     1308 X1307
 0.0748     2229 X2228
 0.0747     1988 X1987
 0.0747     1980 X1979
 0.0747     1062 X1061
 0.0747      554 X553
 0.0747     1323 X1322
 0.0747      610 X609
 0.0747     1693 X1692
 0.0747     1289 X1288
 0.0746     1303 X1302
 0.0746     1403 X1402
 0.0746      550 X549
 0.0746     2034 X2033
 0.0745     1936 X1935
 0.0745     2282 X2281
 0.0744      607 X606
 0.0744     1498 X1497
 0.0744     1139 X1138
 0.0744     2082 X2081
 0.0743      832 X831
 0.0743     1981 X1980
 0.0743     1834 X1833
 0.0743      951 X950
 0.0743      733 X732
 0.0742     1857 X1856
 0.0742      782 X781
 0.0742     2078 X2077
 0.0742     2231 X2230
 0.0742     1253 X1252
 0.0742      269 X268
 0.0741     2123 X2122
 0.0741     2122 X2121
 0.0741     1206 X1205
 0.0741      597 X596
 0.0741     2144 X2143
 0.0741     2266 X2265
 0.074       511 X510
 0.074      2096 X2095
 0.0739     1401 X1400
 0.0739     1548 X1547
 0.0738      560 X559
 0.0738     1256 X1255
 0.0738     1992 X1991
 0.0738     1420 X1419
 0.0738     1946 X1945
 0.0738      922 X921
 0.0738      682 X681
 0.0738     1305 X1304
 0.0737     1346 X1345
 0.0737     1949 X1948
 0.0737     1378 X1377
 0.0737      549 X548
 0.0737     1692 X1691
 0.0736     2281 X2280
 0.0736      681 X680
 0.0736     1644 X1643
 0.0736     1372 X1371
 0.0736     1159 X1158
 0.0736     1575 X1574
 0.0735      353 X352
 0.0735     1001 X1000
 0.0735     1593 X1592
 0.0735     1495 X1494
 0.0735     1898 X1897
 0.0734     1717 X1716
 0.0734     1257 X1256
 0.0734     1541 X1540
 0.0734      500 X499
 0.0734      455 X454
 0.0734      904 X903
 0.0734      507 X506
 0.0733     1547 X1546
 0.0733     1402 X1401
 0.0733     1543 X1542
 0.0733      515 X514
 0.0732     1097 X1096
 0.0732     1893 X1892
 0.0732      874 X873
 0.0732     2004 X2003
 0.0732      894 X893
 0.0732      604 X603
 0.0732     1997 X1996
 0.0731     1897 X1896
 0.0731      800 X799
 0.0731     1736 X1735
 0.0731     1158 X1157
 0.0731     2128 X2127
 0.0731     1999 X1998
 0.0731     2166 X2165
 0.0731      562 X561
 0.073      1517 X1516
 0.073      2028 X2027
 0.073       605 X604
 0.073      2276 X2275
 0.0729     2221 X2220
 0.0729      807 X806
 0.0729     2139 X2138
 0.0728      932 X931
 0.0728     1499 X1498
 0.0728     1207 X1206
 0.0728     2077 X2076
 0.0728      934 X933
 0.0727     2165 X2164
 0.0727     1480 X1479
 0.0727      799 X798
 0.0727     2025 X2024
 0.0727     2184 X2183
 0.0726     2084 X2083
 0.0726     2095 X2094
 0.0726     2131 X2130
 0.0726     1787 X1786
 0.0726     1300 X1299
 0.0725     1399 X1398
 0.0725     1942 X1941
 0.0725     1157 X1156
 0.0725     1348 X1347
 0.0725     2037 X2036
 0.0725     1208 X1207
 0.0725     1718 X1717
 0.0724     1324 X1323
 0.0724     1350 X1349
 0.0724      512 X511
 0.0723     2080 X2079
 0.0723     1090 X1089
 0.0723     1903 X1902
 0.0723      891 X890
 0.0723      977 X976
 0.0723      416 X415
 0.0723     1740 X1739
 0.0723      551 X550
 0.0722     1065 X1064
 0.0722     1790 X1789
 0.0722     2092 X2091
 0.0722      952 X951
 0.0722     1098 X1097
 0.0722     1297 X1296
 0.0722     1204 X1203
 0.0722     1205 X1204
 0.0722     1109 X1108
 0.0721      540 X539
 0.0721     2173 X2172
 0.0721      417 X416
 0.0721     2130 X2129
 0.072      1334 X1333
 0.072      1941 X1940
 0.072      1741 X1740
 0.072      2035 X2034
 0.072       270 X269
 0.072       655 X654
 0.0719     1469 X1468
 0.0719      548 X547
 0.0719      556 X555
 0.0719      954 X953
 0.0719     1349 X1348
 0.0718     1352 X1351
 0.0718      968 X967
 0.0718      415 X414
 0.0718     1937 X1936
 0.0718     1930 X1929
 0.0718     1737 X1736
 0.0717     1671 X1670
 0.0717      776 X775
 0.0717     1161 X1160
 0.0717     1738 X1737
 0.0717     1977 X1976
 0.0717      502 X501
 0.0717     1249 X1248
 0.0717     2125 X2124
 0.0717      849 X848
 0.0717     2295 X2294
 0.0717      317 X316
 0.0717      845 X844
 0.0716      319 X318
 0.0716     2083 X2082
 0.0715     2267 X2266
 0.0715      838 X837
 0.0715      896 X895
 0.0715     1042 X1041
 0.0715     2129 X2128
 0.0715     1784 X1783
 0.0714      685 X684
 0.0714     2001 X2000
 0.0714     1948 X1947
 0.0714      931 X930
 0.0714     2273 X2272
 0.0714     2222 X2221
 0.0714     1990 X1989
 0.0713     1014 X1013
 0.0713      539 X538
 0.0713     1985 X1984
 0.0713     2127 X2126
 0.0713      586 X585
 0.0713     1837 X1836
 0.0713     2247 X2246
 0.0712     1540 X1539
 0.0712      728 X727
