=== Run information ===

Evaluator:    weka.attributeSelection.CorrelationAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Correlation Ranking Filter
Ranked attributes:
 0.14117     1322 X1321
 0.14071     1285 X1284
 0.14062      599 X598
 0.14051     1753 X1752
 0.1404      1752 X1751
 0.14027     1368 X1367
 0.14021     1754 X1753
 0.14015     1708 X1707
 0.14009     1755 X1754
 0.14006     1140 X1139
 0.14006     1378 X1377
 0.13953      601 X600
 0.13947      886 X885
 0.13943     1310 X1309
 0.13927     1477 X1476
 0.13916     1262 X1261
 0.139       1358 X1357
 0.13881      977 X976
 0.1388       835 X834
 0.13809     1220 X1219
 0.13804     1751 X1750
 0.13792     1660 X1659
 0.13787     1214 X1213
 0.13783     1462 X1461
 0.13741     1512 X1511
 0.13729      933 X932
 0.13696     1369 X1368
 0.13686     1461 X1460
 0.13652      799 X798
 0.13634      739 X738
 0.13627      692 X691
 0.13625      930 X929
 0.13616      883 X882
 0.13585     1503 X1502
 0.13576     1756 X1755
 0.13559     1513 X1512
 0.13542     1406 X1405
 0.13512     1166 X1165
 0.13495     1415 X1414
 0.13459      645 X644
 0.13448     1611 X1610
 0.13412     1562 X1561
 0.13368      944 X943
 0.13342     1091 X1090
 0.13326     1709 X1708
 0.13303     1750 X1749
 0.13294      895 X894
 0.13274     1523 X1522
 0.13246     1090 X1089
 0.13237     1661 X1660
 0.13154     1023 X1022
 0.13145     1524 X1523
 0.13123     1237 X1236
 0.13121     1720 X1719
 0.13038     1802 X1801
 0.13001     1118 X1117
 0.12997     1376 X1375
 0.1299      1509 X1508
 0.12961     1803 X1802
 0.12939     1801 X1800
 0.12929     1178 X1177
 0.12927     1377 X1376
 0.12924      847 X846
 0.12919     1504 X1503
 0.12914     1454 X1453
 0.129       1124 X1123
 0.12881     1375 X1374
 0.12869     1700 X1699
 0.12843      598 X597
 0.12818     1768 X1767
 0.12816     1672 X1671
 0.12809      602 X601
 0.12805     1223 X1222
 0.12793     1757 X1756
 0.12771     1612 X1611
 0.12753     1721 X1720
 0.12735     1800 X1799
 0.12725      988 X987
 0.12682      652 X651
 0.12673      751 X750
 0.12643     1092 X1091
 0.12638      786 X785
 0.12632     1556 X1555
 0.12581     1457 X1456
 0.1258      1463 X1462
 0.12577      993 X992
 0.12539     1804 X1803
 0.12536     1176 X1175
 0.12529     1814 X1813
 0.12524     1662 X1661
 0.12512     1525 X1524
 0.12466      976 X975
 0.12445     1710 X1709
 0.12439     1767 X1766
 0.12435     1077 X1076
 0.1242      1719 X1718
 0.12416     1465 X1464
 0.12388     1769 X1768
 0.12377     1426 X1425
 0.1237      1416 X1415
 0.1233      1417 X1416
 0.12329     1799 X1798
 0.12326     1813 X1812
 0.12287     1815 X1814
 0.12286     1502 X1501
 0.12254     1464 X1463
 0.12248     1671 X1670
 0.12243     1861 X1860
 0.12233      936 X935
 0.12193     1514 X1513
 0.12192     2135 X2134
 0.12192     1227 X1226
 0.12177      552 X551
 0.12177     2136 X2135
 0.12163     1603 X1602
 0.12143     1673 X1672
 0.12133     1885 X1884
 0.12119     1189 X1188
 0.12115     1935 X1934
 0.12105     1749 X1748
 0.12084     1070 X1069
 0.12077     1862 X1861
 0.12075     1886 X1885
 0.12065     2275 X2274
 0.12053     2088 X2087
 0.12038     1551 X1550
 0.12036     1563 X1562
 0.1203      2089 X2088
 0.1202       702 X701
 0.12012     1934 X1933
 0.12003      834 X833
 0.11991     1228 X1227
 0.11965     1275 X1274
 0.11958     1816 X1815
 0.11956      985 X984
 0.11954      934 X933
 0.11953     1936 X1935
 0.11942     1766 X1765
 0.11932     1043 X1042
 0.1193      1860 X1859
 0.11906     2290 X2289
 0.11904     1624 X1623
 0.11899     1651 X1650
 0.11891     2087 X2086
 0.11885     1805 X1804
 0.11877     1172 X1171
 0.11876     1613 X1612
 0.11875     1623 X1622
 0.11873     1042 X1041
 0.11865     2090 X2089
 0.11847     1884 X1883
 0.11791     2274 X2273
 0.11787     1836 X1835
 0.11785     1758 X1757
 0.11776      986 X985
 0.1176       882 X881
 0.11749     2137 X2136
 0.1174      1460 X1459
 0.11717     2183 X2182
 0.11714      929 X928
 0.11704      800 X799
 0.11696      551 X550
 0.11695     1478 X1477
 0.11692     2289 X2288
 0.11683     1812 X1811
 0.11667     1933 X1932
 0.11649     2134 X2133
 0.11645     2242 X2241
 0.11642     2241 X2240
 0.11637     1129 X1128
 0.11631     1887 X1886
 0.11621     2091 X2090
 0.11615     1837 X1836
 0.11615     2291 X2290
 0.11614     2276 X2275
 0.11599     1798 X1797
 0.11592     1908 X1907
 0.11564     2228 X2227
 0.11554     2227 X2226
 0.11537     2182 X2181
 0.11525     1550 X1549
 0.11521     1984 X1983
 0.1152       691 X690
